Temperature,Humidity,Rainfall,Season,SoilType,IrrigationType,LandArea,Region,Crop
19.9,58.2,450.1,Rabi,Alluvial Soil,Flood,3.97,Western Maharashtra,Wheat
23.6,61.8,962.6,Kharif,Red Soil,Rain-fed,1.94,Vidarbha,Soybean
22.5,61.8,754.5,Kharif,Black Soil,Rain-fed,2.07,Vidarbha,Tur (Pigeon pea)
27.9,60.5,874.5,Kharif,Red Soil,Rain-fed,1.72,Marathwada,Soybean
24.8,72.9,1563.9,Kharif,Alluvial Soil,Rain-fed,1.74,Konkan,Rice
27.5,74.9,862.9,Kharif,Black Soil,Rain-fed,2.5,Vidarbha,Soybean
34.2,66.2,685.9,Kharif,Black Soil,Drip,3.67,Marathwada,Cotton
26.5,71.3,1631.6,Kharif,Laterite Soil,Rain-fed,0.98,Konkan,Rice
31.4,65.4,698.7,Kharif,Black Soil,Drip,2.77,Marathwada,Cotton
27.5,72.0,1736.3,Kharif,Laterite Soil,Rain-fed,1.58,Konkan,Rice
30.4,64.0,759.9,Kharif,Black Soil,Rain-fed,2.39,Marathwada,Tur (Pigeon pea)
20.0,64.4,470.8,Rabi,Black Soil,Flood,3.48,Western Maharashtra,Wheat
27.7,79.2,1009.3,Kharif,Laterite Soil,Rain-fed,2.51,Konkan,Rice
20.0,57.9,429.2,Rabi,Black Soil,Rain-fed,2.85,Vidarbha,Chickpea
21.2,45.5,404.2,Rabi,Black Soil,Rain-fed,1.17,Vidarbha,Chickpea
22.9,46.8,489.7,Rabi,Black Soil,Rain-fed,4.24,Vidarbha,Chickpea
25.2,47.6,679.5,Kharif,Black Soil,Rain-fed,0.64,Marathwada,Tur (Pigeon pea)
25.7,58.7,562.0,Rabi,Black Soil,Rain-fed,2.5,Marathwada,Jowar
27.2,53.0,673.9,Kharif,Black Soil,Rain-fed,0.67,Marathwada,Cotton
37.6,78.8,881.9,Annual,Black Soil,Flood,3.17,Western Maharashtra,Sugarcane
32.1,57.0,470.2,Kharif,Sandy Soil,Rain-fed,4.58,Marathwada,Bajra
34.0,70.5,721.9,Annual,Alluvial Soil,Drip,2.07,Western Maharashtra,Sugarcane
20.9,69.9,919.5,Kharif,Red Soil,Rain-fed,2.56,Vidarbha,Soybean
27.0,62.0,403.6,Rabi,Red Soil,Rain-fed,3.15,Marathwada,Jowar
35.8,70.6,819.0,Annual,Alluvial Soil,Drip,1.61,Western Maharashtra,Sugarcane
25.2,66.3,887.5,Kharif,Black Soil,Drip,1.97,Marathwada,Cotton
22.8,48.4,727.1,Kharif,Black Soil,Rain-fed,0.89,Vidarbha,Tur (Pigeon pea)
25.3,58.1,429.2,Rabi,Red Soil,Rain-fed,4.59,Western Maharashtra,Chickpea
20.5,40.2,407.0,Rabi,Black Soil,Rain-fed,1.14,Vidarbha,Chickpea
24.4,59.2,443.6,Rabi,Black Soil,Rain-fed,2.41,Vidarbha,Chickpea
30.8,69.3,944.5,Kharif,Red Soil,Sprinkler,3.73,Western Maharashtra,Groundnut
32.1,83.3,1021.3,Annual,Alluvial Soil,Drip,1.93,Western Maharashtra,Sugarcane
21.4,69.4,982.4,Kharif,Black Soil,Rain-fed,3.34,Marathwada,Soybean
24.5,73.0,998.7,Kharif,Red Soil,Rain-fed,2.59,Marathwada,Soybean
29.7,83.4,747.1,Annual,Alluvial Soil,Flood,2.96,Western Maharashtra,Sugarcane
21.6,47.5,400.2,Rabi,Red Soil,Rain-fed,2.65,Vidarbha,Chickpea
28.9,53.8,578.7,Kharif,Sandy Soil,Rain-fed,4.39,Marathwada,Bajra
27.6,50.1,420.5,Rabi,Red Soil,Rain-fed,3.84,Marathwada,Jowar
29.4,78.8,1767.8,Kharif,Laterite Soil,Flood,1.11,Konkan,Rice
22.6,46.0,449.7,Rabi,Black Soil,Rain-fed,0.85,Western Maharashtra,Chickpea
26.6,56.1,460.1,Rabi,Red Soil,Rain-fed,4.46,Western Maharashtra,Chickpea
18.6,58.8,328.1,Rabi,Alluvial Soil,Flood,3.97,Western Maharashtra,Wheat
28.2,64.4,659.4,Kharif,Red Soil,Rain-fed,1.63,Konkan,Groundnut
27.7,46.1,724.4,Kharif,Red Soil,Rain-fed,3.25,Marathwada,Tur (Pigeon pea)
17.1,63.1,309.1,Rabi,Black Soil,Flood,3.74,Western Maharashtra,Wheat
27.8,66.5,674.4,Kharif,Black Soil,Rain-fed,1.29,Marathwada,Cotton
31.5,48.8,670.5,Rabi,Black Soil,Rain-fed,3.74,Marathwada,Jowar
23.7,61.0,669.2,Kharif,Red Soil,Rain-fed,4.09,Marathwada,Soybean
28.0,49.1,536.2,Rabi,Red Soil,Rain-fed,4.26,Western Maharashtra,Jowar
23.6,77.1,1939.5,Kharif,Laterite Soil,Rain-fed,4.21,Konkan,Rice
25.9,80.9,1895.5,Kharif,Laterite Soil,Flood,2.69,Konkan,Rice
22.8,72.6,930.9,Kharif,Alluvial Soil,Flood,1.74,Konkan,Rice
26.6,77.3,1784.9,Kharif,Laterite Soil,Flood,1.15,Konkan,Rice
27.4,61.0,862.8,Kharif,Black Soil,Drip,3.12,Vidarbha,Cotton
23.0,74.9,905.1,Kharif,Black Soil,Rain-fed,4.9,Vidarbha,Soybean
27.4,56.5,585.2,Rabi,Black Soil,Rain-fed,2.26,Marathwada,Jowar
29.0,74.6,971.8,Kharif,Black Soil,Rain-fed,4.84,Marathwada,Soybean
24.2,53.5,476.5,Rabi,Black Soil,Rain-fed,2.68,Western Maharashtra,Chickpea
29.9,78.8,1857.3,Kharif,Alluvial Soil,Flood,4.72,Konkan,Rice
16.4,60.9,374.0,Rabi,Black Soil,Flood,4.32,Western Maharashtra,Wheat
21.3,60.2,398.5,Rabi,Alluvial Soil,Flood,3.37,Western Maharashtra,Wheat
35.9,75.4,1197.8,Annual,Alluvial Soil,Drip,4.35,Western Maharashtra,Sugarcane
27.2,52.3,596.5,Kharif,Sandy Soil,Rain-fed,3.59,Marathwada,Bajra
27.4,56.8,941.9,Kharif,Red Soil,Sprinkler,2.43,Western Maharashtra,Groundnut
27.7,57.2,717.1,Kharif,Red Soil,Rain-fed,1.48,Vidarbha,Tur (Pigeon pea)
28.4,66.9,642.3,Kharif,Red Soil,Rain-fed,3.0,Marathwada,Soybean
30.6,57.5,744.3,Rabi,Black Soil,Rain-fed,1.14,Marathwada,Jowar
26.7,48.0,401.7,Rabi,Black Soil,Rain-fed,4.7,Western Maharashtra,Chickpea
31.6,74.6,779.6,Annual,Alluvial Soil,Flood,3.63,Western Maharashtra,Sugarcane
32.5,59.5,730.3,Kharif,Black Soil,Rain-fed,2.89,Vidarbha,Tur (Pigeon pea)
30.2,48.3,763.2,Kharif,Black Soil,Rain-fed,4.9,Marathwada,Tur (Pigeon pea)
31.3,67.7,649.1,Kharif,Black Soil,Drip,1.45,Marathwada,Cotton
22.9,56.1,482.1,Rabi,Red Soil,Rain-fed,1.46,Western Maharashtra,Chickpea
31.0,62.1,650.4,Kharif,Red Soil,Rain-fed,3.29,Marathwada,Tur (Pigeon pea)
19.7,51.1,489.7,Rabi,Black Soil,Flood,2.96,Western Maharashtra,Wheat
22.3,56.1,422.6,Rabi,Red Soil,Rain-fed,2.97,Western Maharashtra,Chickpea
29.3,67.4,1068.5,Annual,Alluvial Soil,Flood,3.5,Western Maharashtra,Sugarcane
36.6,71.9,917.7,Annual,Alluvial Soil,Drip,2.99,Western Maharashtra,Sugarcane
21.2,53.6,434.3,Rabi,Black Soil,Flood,3.88,Western Maharashtra,Wheat
28.9,60.6,522.6,Kharif,Red Soil,Rain-fed,3.73,Western Maharashtra,Groundnut
20.0,57.3,364.9,Rabi,Alluvial Soil,Flood,1.47,Western Maharashtra,Wheat
15.1,57.3,422.1,Rabi,Alluvial Soil,Flood,3.17,Western Maharashtra,Wheat
26.0,70.5,780.0,Kharif,Red Soil,Rain-fed,1.23,Marathwada,Soybean
25.7,54.4,338.9,Kharif,Red Soil,Rain-fed,1.95,Marathwada,Bajra
27.2,56.4,598.9,Rabi,Black Soil,Rain-fed,4.69,Western Maharashtra,Jowar
25.7,59.3,413.6,Rabi,Red Soil,Rain-fed,1.04,Western Maharashtra,Chickpea
25.1,54.4,430.7,Rabi,Black Soil,Rain-fed,1.89,Vidarbha,Chickpea
27.3,40.1,477.3,Kharif,Red Soil,Rain-fed,2.96,Marathwada,Bajra
31.0,72.8,1711.5,Kharif,Alluvial Soil,Flood,1.48,Konkan,Rice
31.6,53.7,642.0,Rabi,Black Soil,Rain-fed,2.39,Marathwada,Jowar
17.9,57.1,493.4,Rabi,Alluvial Soil,Flood,2.63,Western Maharashtra,Wheat
25.5,59.9,608.2,Kharif,Black Soil,Rain-fed,1.47,Vidarbha,Cotton
23.7,61.1,452.2,Rabi,Alluvial Soil,Flood,4.56,Western Maharashtra,Wheat
24.5,56.5,637.5,Kharif,Black Soil,Rain-fed,2.13,Vidarbha,Tur (Pigeon pea)
27.1,40.2,401.8,Rabi,Red Soil,Rain-fed,4.09,Western Maharashtra,Chickpea
31.5,51.0,625.7,Rabi,Red Soil,Rain-fed,3.17,Marathwada,Jowar
29.5,59.0,968.3,Kharif,Red Soil,Sprinkler,1.82,Western Maharashtra,Groundnut
26.8,57.6,373.6,Kharif,Sandy Soil,Rain-fed,1.75,Marathwada,Bajra
29.6,46.2,637.7,Rabi,Black Soil,Rain-fed,1.14,Marathwada,Jowar
26.4,57.5,557.2,Rabi,Black Soil,Rain-fed,2.42,Marathwada,Jowar
28.4,56.0,762.5,Kharif,Black Soil,Rain-fed,3.85,Marathwada,Tur (Pigeon pea)
18.2,60.7,431.8,Rabi,Alluvial Soil,Flood,2.42,Western Maharashtra,Wheat
32.0,53.1,764.3,Kharif,Black Soil,Rain-fed,3.57,Marathwada,Cotton
34.9,52.9,378.1,Kharif,Red Soil,Rain-fed,3.61,Marathwada,Bajra
27.9,56.6,873.8,Kharif,Red Soil,Rain-fed,4.26,Konkan,Groundnut
21.6,55.9,457.0,Rabi,Red Soil,Rain-fed,1.84,Western Maharashtra,Chickpea
18.8,50.0,402.4,Rabi,Alluvial Soil,Flood,2.6,Western Maharashtra,Wheat
27.4,70.3,1566.5,Kharif,Alluvial Soil,Rain-fed,3.77,Konkan,Rice
26.4,43.7,381.1,Kharif,Red Soil,Rain-fed,0.9,Marathwada,Bajra
31.5,47.1,547.2,Rabi,Red Soil,Rain-fed,0.75,Western Maharashtra,Jowar
28.5,50.1,716.4,Kharif,Black Soil,Rain-fed,0.82,Vidarbha,Tur (Pigeon pea)
28.9,77.9,1212.7,Kharif,Alluvial Soil,Rain-fed,2.46,Konkan,Rice
19.4,62.7,493.6,Rabi,Alluvial Soil,Flood,1.83,Western Maharashtra,Wheat
27.2,50.3,426.6,Rabi,Black Soil,Rain-fed,4.36,Western Maharashtra,Jowar
29.8,49.4,517.2,Rabi,Black Soil,Rain-fed,2.5,Marathwada,Jowar
26.0,47.6,525.9,Kharif,Red Soil,Rain-fed,2.75,Marathwada,Bajra
26.2,52.0,424.4,Rabi,Black Soil,Rain-fed,1.63,Western Maharashtra,Chickpea
21.6,74.1,717.4,Kharif,Black Soil,Rain-fed,1.36,Marathwada,Soybean
21.7,41.4,445.3,Rabi,Black Soil,Rain-fed,3.68,Vidarbha,Chickpea
24.5,58.8,665.1,Kharif,Red Soil,Sprinkler,4.6,Konkan,Groundnut
29.0,83.1,1148.0,Kharif,Laterite Soil,Rain-fed,2.35,Konkan,Rice
26.6,54.0,796.4,Kharif,Black Soil,Drip,4.09,Marathwada,Cotton
24.1,71.3,951.8,Kharif,Red Soil,Rain-fed,3.79,Vidarbha,Soybean
25.2,41.8,489.2,Rabi,Red Soil,Rain-fed,2.59,Vidarbha,Chickpea
26.6,83.0,1658.8,Kharif,Laterite Soil,Rain-fed,2.94,Konkan,Rice
27.8,48.4,486.1,Rabi,Red Soil,Rain-fed,0.66,Vidarbha,Chickpea
26.8,77.0,1179.9,Annual,Alluvial Soil,Drip,3.67,Western Maharashtra,Sugarcane
37.0,65.4,930.2,Annual,Alluvial Soil,Flood,1.89,Western Maharashtra,Sugarcane
33.8,57.6,630.0,Kharif,Sandy Soil,Rain-fed,1.33,Western Maharashtra,Groundnut
24.2,53.9,420.8,Rabi,Alluvial Soil,Flood,1.29,Western Maharashtra,Wheat
25.3,58.8,389.1,Kharif,Red Soil,Rain-fed,3.18,Marathwada,Bajra
27.7,70.4,1164.9,Kharif,Alluvial Soil,Flood,0.78,Konkan,Rice
28.1,59.3,672.0,Kharif,Black Soil,Rain-fed,1.97,Marathwada,Cotton
33.2,59.4,397.7,Kharif,Red Soil,Rain-fed,4.48,Marathwada,Bajra
26.9,51.8,607.9,Kharif,Black Soil,Drip,3.64,Marathwada,Cotton
21.9,61.4,320.1,Rabi,Black Soil,Flood,2.49,Western Maharashtra,Wheat
27.1,55.6,696.6,Rabi,Red Soil,Rain-fed,0.93,Marathwada,Jowar
26.0,67.5,716.2,Annual,Black Soil,Drip,0.83,Western Maharashtra,Sugarcane
30.6,63.4,694.0,Rabi,Black Soil,Rain-fed,2.96,Marathwada,Jowar
32.2,52.9,595.1,Kharif,Sandy Soil,Rain-fed,3.96,Marathwada,Bajra
22.4,73.3,1792.2,Kharif,Laterite Soil,Flood,2.82,Konkan,Rice
25.5,76.5,1691.7,Kharif,Laterite Soil,Rain-fed,4.12,Konkan,Rice
32.7,40.1,399.4,Kharif,Sandy Soil,Rain-fed,2.28,Marathwada,Bajra
27.0,51.0,460.8,Rabi,Red Soil,Rain-fed,4.11,Western Maharashtra,Chickpea
33.2,79.1,1001.4,Annual,Black Soil,Flood,1.15,Western Maharashtra,Sugarcane
24.5,64.9,491.2,Rabi,Black Soil,Flood,0.58,Western Maharashtra,Wheat
19.6,52.3,472.2,Rabi,Alluvial Soil,Flood,1.88,Western Maharashtra,Wheat
29.4,47.4,374.9,Kharif,Sandy Soil,Rain-fed,2.89,Marathwada,Bajra
25.9,54.3,491.4,Rabi,Red Soil,Rain-fed,0.76,Vidarbha,Chickpea
26.2,66.1,689.4,Kharif,Sandy Soil,Sprinkler,3.56,Western Maharashtra,Groundnut
30.2,78.5,1102.4,Annual,Alluvial Soil,Flood,0.53,Western Maharashtra,Sugarcane
20.8,60.2,450.0,Rabi,Black Soil,Flood,1.47,Western Maharashtra,Wheat
24.5,49.1,705.9,Kharif,Red Soil,Rain-fed,4.71,Vidarbha,Tur (Pigeon pea)
23.3,71.4,902.1,Kharif,Laterite Soil,Flood,3.89,Konkan,Rice
31.3,40.0,410.0,Kharif,Sandy Soil,Rain-fed,0.95,Marathwada,Bajra
30.6,61.8,778.1,Rabi,Red Soil,Rain-fed,4.98,Western Maharashtra,Jowar
27.8,64.1,770.8,Rabi,Black Soil,Rain-fed,1.81,Western Maharashtra,Jowar
22.3,50.2,493.3,Rabi,Red Soil,Rain-fed,1.93,Vidarbha,Chickpea
32.9,67.4,867.3,Kharif,Red Soil,Rain-fed,2.46,Konkan,Groundnut
25.5,71.6,917.6,Kharif,Black Soil,Rain-fed,4.15,Vidarbha,Soybean
28.8,83.7,1286.9,Kharif,Laterite Soil,Rain-fed,2.59,Konkan,Rice
28.1,57.7,783.2,Kharif,Black Soil,Rain-fed,2.63,Marathwada,Tur (Pigeon pea)
31.4,75.2,962.0,Kharif,Laterite Soil,Flood,2.91,Konkan,Rice
25.8,65.3,556.5,Kharif,Red Soil,Sprinkler,2.98,Konkan,Groundnut
17.9,54.2,348.6,Rabi,Alluvial Soil,Flood,2.04,Western Maharashtra,Wheat
28.4,69.3,934.0,Annual,Black Soil,Flood,1.53,Western Maharashtra,Sugarcane
21.6,55.7,411.1,Rabi,Alluvial Soil,Flood,1.56,Western Maharashtra,Wheat
24.7,67.1,772.9,Kharif,Sandy Soil,Sprinkler,1.69,Konkan,Groundnut
24.1,62.2,969.8,Kharif,Black Soil,Rain-fed,2.01,Vidarbha,Soybean
28.7,74.3,665.7,Kharif,Black Soil,Rain-fed,2.67,Vidarbha,Soybean
24.4,62.7,906.6,Kharif,Sandy Soil,Sprinkler,0.54,Konkan,Groundnut
27.6,56.0,751.0,Rabi,Red Soil,Rain-fed,2.08,Western Maharashtra,Jowar
27.8,49.5,475.8,Rabi,Black Soil,Rain-fed,1.29,Western Maharashtra,Chickpea
20.9,47.8,424.2,Rabi,Red Soil,Rain-fed,3.17,Vidarbha,Chickpea
24.5,57.1,491.4,Rabi,Black Soil,Flood,0.73,Western Maharashtra,Wheat
32.5,81.6,786.5,Annual,Alluvial Soil,Flood,4.24,Western Maharashtra,Sugarcane
34.4,63.9,697.1,Kharif,Black Soil,Drip,0.68,Marathwada,Cotton
26.9,63.0,559.2,Kharif,Red Soil,Rain-fed,1.72,Western Maharashtra,Groundnut
29.4,72.6,1106.5,Kharif,Alluvial Soil,Flood,2.56,Konkan,Rice
26.6,60.6,914.3,Kharif,Red Soil,Rain-fed,0.91,Marathwada,Soybean
31.0,67.8,1045.8,Annual,Black Soil,Flood,4.17,Western Maharashtra,Sugarcane
25.9,59.4,418.3,Rabi,Black Soil,Rain-fed,4.01,Marathwada,Jowar
24.2,69.0,822.5,Kharif,Red Soil,Rain-fed,3.76,Konkan,Groundnut
33.5,56.8,716.3,Kharif,Black Soil,Rain-fed,0.77,Vidarbha,Cotton
22.6,67.0,705.4,Kharif,Red Soil,Rain-fed,1.72,Vidarbha,Soybean
22.6,50.0,603.0,Kharif,Black Soil,Rain-fed,2.7,Vidarbha,Tur (Pigeon pea)
24.7,57.4,460.5,Rabi,Black Soil,Rain-fed,3.17,Vidarbha,Chickpea
23.3,73.3,807.1,Kharif,Red Soil,Rain-fed,4.29,Marathwada,Soybean
25.2,61.2,723.0,Kharif,Red Soil,Rain-fed,4.07,Marathwada,Soybean
29.6,49.9,761.5,Rabi,Red Soil,Rain-fed,4.62,Marathwada,Jowar
25.4,59.9,648.2,Kharif,Black Soil,Drip,4.45,Vidarbha,Cotton
27.1,63.7,416.3,Rabi,Black Soil,Rain-fed,1.97,Western Maharashtra,Jowar
27.9,45.2,604.7,Kharif,Black Soil,Rain-fed,3.44,Vidarbha,Tur (Pigeon pea)
25.3,51.2,638.9,Kharif,Black Soil,Drip,3.04,Marathwada,Cotton
28.2,73.5,953.4,Kharif,Red Soil,Rain-fed,3.47,Marathwada,Soybean
29.4,80.7,940.2,Kharif,Laterite Soil,Rain-fed,1.25,Konkan,Rice
31.5,64.5,436.7,Rabi,Black Soil,Rain-fed,3.6,Western Maharashtra,Jowar
30.7,78.4,1162.1,Annual,Alluvial Soil,Flood,3.86,Western Maharashtra,Sugarcane
29.8,65.7,698.7,Kharif,Red Soil,Sprinkler,2.68,Konkan,Groundnut
27.6,50.0,407.5,Rabi,Red Soil,Rain-fed,2.54,Vidarbha,Chickpea
30.9,76.5,1276.7,Kharif,Laterite Soil,Rain-fed,4.94,Konkan,Rice
31.7,54.4,419.6,Kharif,Sandy Soil,Rain-fed,2.13,Marathwada,Bajra
26.6,42.1,446.4,Rabi,Black Soil,Rain-fed,1.74,Western Maharashtra,Chickpea
25.2,80.0,1087.6,Annual,Black Soil,Flood,1.55,Western Maharashtra,Sugarcane
31.6,52.8,837.0,Kharif,Black Soil,Drip,4.25,Marathwada,Cotton
32.6,55.1,504.7,Kharif,Sandy Soil,Rain-fed,2.48,Western Maharashtra,Groundnut
22.6,49.3,484.6,Rabi,Black Soil,Rain-fed,0.51,Vidarbha,Chickpea
32.9,48.5,323.8,Kharif,Sandy Soil,Rain-fed,4.33,Marathwada,Bajra
31.5,54.7,859.5,Kharif,Black Soil,Rain-fed,0.54,Vidarbha,Cotton
26.7,55.4,402.5,Rabi,Red Soil,Rain-fed,1.14,Western Maharashtra,Jowar
26.3,48.2,502.1,Rabi,Red Soil,Rain-fed,3.98,Marathwada,Jowar
24.0,60.1,642.0,Kharif,Sandy Soil,Rain-fed,0.66,Western Maharashtra,Groundnut
29.4,73.9,929.9,Annual,Black Soil,Drip,1.36,Western Maharashtra,Sugarcane
26.3,73.9,820.1,Kharif,Black Soil,Rain-fed,4.6,Marathwada,Soybean
37.5,76.6,773.6,Annual,Black Soil,Drip,4.62,Western Maharashtra,Sugarcane
31.6,63.3,524.3,Rabi,Red Soil,Rain-fed,4.02,Western Maharashtra,Jowar
26.8,57.7,519.9,Rabi,Red Soil,Rain-fed,1.22,Marathwada,Jowar
33.8,75.2,920.1,Annual,Alluvial Soil,Drip,3.53,Western Maharashtra,Sugarcane
28.0,79.2,918.0,Kharif,Laterite Soil,Rain-fed,3.64,Konkan,Rice
30.7,64.9,704.6,Kharif,Sandy Soil,Rain-fed,1.9,Konkan,Groundnut
25.7,64.4,778.9,Kharif,Red Soil,Rain-fed,3.0,Vidarbha,Soybean
30.6,62.3,705.7,Kharif,Black Soil,Drip,4.6,Marathwada,Cotton
33.9,52.8,706.5,Kharif,Black Soil,Drip,3.71,Marathwada,Cotton
22.5,47.2,697.6,Kharif,Red Soil,Rain-fed,3.05,Marathwada,Tur (Pigeon pea)
23.7,67.2,831.3,Kharif,Red Soil,Rain-fed,4.58,Vidarbha,Soybean
20.7,58.1,428.7,Rabi,Black Soil,Rain-fed,1.59,Vidarbha,Chickpea
25.5,81.8,1250.8,Kharif,Laterite Soil,Rain-fed,3.14,Konkan,Rice
24.7,59.4,381.6,Rabi,Black Soil,Flood,1.87,Western Maharashtra,Wheat
34.5,63.3,606.4,Kharif,Black Soil,Rain-fed,3.15,Vidarbha,Tur (Pigeon pea)
26.2,50.8,618.0,Rabi,Red Soil,Rain-fed,1.88,Marathwada,Jowar
25.4,53.4,492.2,Rabi,Black Soil,Rain-fed,4.92,Vidarbha,Chickpea
27.6,65.4,814.0,Kharif,Black Soil,Rain-fed,1.57,Marathwada,Soybean
27.6,77.3,1057.0,Annual,Black Soil,Flood,3.08,Western Maharashtra,Sugarcane
29.7,55.5,702.4,Kharif,Red Soil,Rain-fed,3.07,Vidarbha,Tur (Pigeon pea)
23.1,42.6,465.8,Rabi,Black Soil,Rain-fed,4.49,Western Maharashtra,Chickpea
21.7,74.0,921.7,Kharif,Red Soil,Rain-fed,4.95,Vidarbha,Soybean
21.0,52.4,463.4,Rabi,Red Soil,Rain-fed,1.69,Vidarbha,Chickpea
29.6,66.6,545.3,Kharif,Sandy Soil,Rain-fed,0.62,Konkan,Groundnut
30.1,58.4,536.9,Kharif,Sandy Soil,Sprinkler,3.62,Western Maharashtra,Groundnut
26.8,78.5,1564.1,Kharif,Alluvial Soil,Rain-fed,4.78,Konkan,Rice
24.6,46.0,416.2,Rabi,Black Soil,Rain-fed,4.64,Western Maharashtra,Chickpea
22.9,82.7,1499.2,Kharif,Laterite Soil,Rain-fed,3.87,Konkan,Rice
26.1,55.9,476.5,Rabi,Red Soil,Rain-fed,4.43,Western Maharashtra,Chickpea
22.6,49.6,473.2,Rabi,Red Soil,Rain-fed,1.06,Vidarbha,Chickpea
28.9,60.3,771.5,Kharif,Black Soil,Rain-fed,1.65,Marathwada,Cotton
28.4,55.8,749.3,Kharif,Red Soil,Rain-fed,4.64,Vidarbha,Tur (Pigeon pea)
28.0,50.1,561.3,Kharif,Red Soil,Rain-fed,3.04,Marathwada,Bajra
26.7,80.6,1327.8,Kharif,Laterite Soil,Rain-fed,1.28,Konkan,Rice
25.9,83.4,906.0,Kharif,Alluvial Soil,Rain-fed,1.17,Konkan,Rice
24.5,49.5,765.9,Kharif,Black Soil,Rain-fed,1.87,Marathwada,Tur (Pigeon pea)
28.6,74.4,1953.1,Kharif,Laterite Soil,Rain-fed,2.28,Konkan,Rice
28.3,79.2,1014.1,Kharif,Laterite Soil,Rain-fed,0.54,Konkan,Rice
